"","FC=0;CR=0","FC=0;CR=0.1","FC=0;CR=0.2","FC=0;CR=0.3","FC=0;CR=0.4","FC=0.4;CR=0","FC=0.4;CR=0.1","FC=0.4;CR=0.2","FC=0.4;CR=0.3","FC=0.4;CR=0.4","FC=0.8;CR=0","FC=0.8;CR=0.1","FC=0.8;CR=0.2","FC=0.8;CR=0.3","FC=0.8;CR=0.4"
"cB.unstr.cB.less.chiB",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cfi.str.pass.5",0.936,1,0.343,1,1,0.938,1,0.353,1,0.993,0.371,0.319,0.085,0.151,0.061
"cfi.unstr.pass.5",0.541,1,1,0.935,1,0.52,1,1,0.944,1,0.504,1,1,0.947,1
"cfi.fiml.equal.zero",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cfi.uncor.equal.zero",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cfi.cor.str.equal.zero",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cfi.cor.unstr.equal.zero",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cfi.fiml.equal.one",0.491,0.068,0,0,0,0.507,0.068,0,0,0,0.489,0.051,0,0,0
"cfi.uncor.equal.one",0.079,0,0,0,0,0.076,0.003,0,0,0,0.076,0.003,0,0,0
"cfi.cor.str.equal.one",0.482,0.077,0,0,0,0.507,0.089,0,0,0,0.53,0.072,0,0,0
"cfi.cor.unstr.equal.one",0.459,0.06,0,0,0,0.48,0.071,0,0,0,0.489,0.056,0,0,0
"Wm.unstr.pos.def",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Wc_unstr.pos.def",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Wc_str.pos.def",1,1,1,0.049,0,1,1,1,0.054,0,1,1,1,0.053,0
"WcB_unstr.pos.def",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"WcB_str.pos.def",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fit1.imp.pos.def",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"fit2.imp.pos.def",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"fit1B.imp.pos.def",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"fit2B.imp.pos.def",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"fit1.vcov.pos.def",1,1,1,1,0.228,1,1,1,1,0.561,1,1,1,1,1
"fit2.vcov.pos.def",1,1,1,1,0.82,1,1,1,1,0.781,1,1,1,1,0.76
"fit1B.vcov.pos.def",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"fit2B.vcov.pos.def",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"fit1.converge",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"fit2.converge",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"fit1B.converge",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"fit2B.converge",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"c.str.great.zero",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cB.str.great.zero",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"c.str.c.less.kb",1,1,1,1,1,1,1,1,1,1,0.463,0.313,0.154,0.066,0.019
"c.str.c.less.chi",0.993,1,0.34,1,1,0.998,1,0.336,1,1,0.998,1,0.321,1,1
"cB.str.cB.less.chiB",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"c.unstr.great.zero",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cB.unstr.great.zero",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"c.unstr.c.less.kb",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"c.unstr.c.less.chi",0.504,1,1,0.998,1,0.471,1,1,0.993,1,0.503,1,1,0.998,1
"cB.unstr.cB.less.chiB",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cfi.str.pass.5",0.993,1,0.34,1,1,0.998,1,0.336,1,1,0.462,0.313,0.041,0.066,0.019
"cfi.unstr.pass.5",0.504,1,1,0.998,1,0.471,1,1,0.993,1,0.503,1,1,0.998,1
"cfi.fiml.equal.zero",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cfi.uncor.equal.zero",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cfi.cor.str.equal.zero",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cfi.cor.unstr.equal.zero",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cfi.fiml.equal.one",0.494,0.007,0,0,0,0.496,0.002,0,0,0,0.528,0.001,0,0,0
"cfi.uncor.equal.one",0.084,0,0,0,0,0.095,0,0,0,0,0.071,0,0,0,0
"cfi.cor.str.equal.one",0.509,0.007,0,0,0,0.508,0.002,0,0,0,0.552,0.003,0,0,0
"cfi.cor.unstr.equal.one",0.496,0.007,0,0,0,0.494,0.002,0,0,0,0.541,0.002,0,0,0
