,FC=0.8;CR=0,FC=0.8;CR=0.1,FC=0.8;CR=0.2,FC=0.8;CR=0.3,FC=0.8;CR=0.4,FC=0.8;CR=0,FC=0.8;CR=0.1,FC=0.8;CR=0.2,FC=0.8;CR=0.3,FC=0.8;CR=0.4
kb.obs.nonn_str.great.zero,1,0.998,1,0.996,0.995,0.999,1,1,0.999,0.999
k.obs.nonn_str.k.less.kb,0.694,0.574,0.446,0.271,0.169,0.524,0.428,0.272,0.151,0.137
k.obs.nonn_str.k.less.chi,0.964,1,1,1,0.167,0.923,1,1,1,0.247
kb.obs.nonn_str.kb.less.chiB,1,1,1,1,1,1,1,1,1,1
k.exp_str.great.zero,1,1,0.999,0.798,0.844,1,1,0.986,0.854,0.701
kb.exp_str.great.zero,0.55,0.501,0.522,0.523,0.537,0.543,0.463,0.47,0.557,0.538
k.exp_str.k.less.kb,0.516,0.465,0.454,0.469,0.481,0.507,0.417,0.409,0.459,0.474
k.exp_str.k.less.chi,1,1,1,0.453,0.618,1,1,0.998,0.34,0.613
kb.exp_str.kb.less.chiB,0.927,0.949,0.974,0.966,0.957,0.924,0.953,0.976,0.948,0.964
k.exp.nonn_str.great.zero,1,1,1,1,1,1,1,1,1,1
kb.exp.nonn_str.great.zero,1,1,1,1,1,1,1,1,1,1
k.exp.nonn_str.k.less.kb,1,1,1,1,1,1,1,1,1,0.997
k.exp.nonn_str.k.less.chi,1,1,0.412,0.795,0.998,1,1,0.373,0.707,0.993
kb.exp.nonn_str.kb.less.chiB,1,1,1,1,1,1,1,1,1,1
k.obs_unstr.great.zero,1,1,1,1,1,1,1,1,1,1
kb.obs_unstr.great.zero,1,1,1,1,1,1,1,1,1,1
k.obs_unstr.k.less.kb,1,1,1,1,1,1,1,1,1,1
k.obs_unstr.k.less.chi,1,0.51,0.968,1,1,1,0.521,0.937,1,1
kb.obs_unstr.kb.less.chiB,1,1,1,1,1,1,1,1,1,1
k.obs.nonn_unstr.great.zero,1,1,1,1,1,1,1,1,1,1
kb.obs.nonn_unstr.great.zero,1,1,1,1,1,1,1,1,1,1
k.obs.nonn_unstr.k.less.kb,1,1,1,1,1,1,1,1,1,1
k.obs.nonn_unstr.k.less.chi,0.468,0.982,1,1,1,0.484,0.953,1,1,1
kb.obs.nonn_unstr.kb.less.chiB,1,1,1,1,1,1,1,1,1,1
cfi.obs_str.pass.5,0.435,0.888,0.941,0.936,0.921,0.352,0.718,0.865,0.805,0.815
cfi.obs.nonn_str.pass.5,0.673,0.574,0.446,0.271,0.031,0.489,0.428,0.272,0.151,0.037
cfi.exp_str.pass.5,0.443,0.414,0.427,0.124,0.209,0.431,0.37,0.377,0.094,0.135
cfi.exp.nonn_str.pass.5,1,1,0.412,0.795,0.998,1,1,0.373,0.707,0.993
cfi.obs_unstr.pass.5,1,0.51,0.968,1,1,1,0.521,0.937,1,1
cfi.obs.nonn_unstr.pass.5,0.468,0.982,1,1,1,0.484,0.953,1,1,1
cfi.fiml.equal.zero,0,0,0,0,0,0,0,0,0,0
cfi.uncor.fimlc.equal.zero,0,0,0,0,0,0,0,0,0,0
cfi.cor.obs_str.equal.zero,0,0.001,0,0,0,0,0,0,0.002,0
cfi.cor.obs.nonn_str.equal.zero,0,0,0,0,0,0,0,0,0,0
cfi.cor.exp_str.equal.zero,0.029,0.06,0.039,0.032,0.043,0.026,0.05,0.034,0.049,0.041
cfi.cor.exp.nonn_str.equal.zero,0,0,0,0,0,0,0,0,0,0
cfi.cor.obs_unstr.equal.zero,0,0,0,0,0,0,0,0,0,0
cfi.cor.obs.nonn_unstr.equal.zero,0,0,0,0,0,0,0,0,0,0
cfi.fiml.equal.one,0.488,0.021,0,0,0,0.473,0.053,0,0,0
cfi.uncor.fimlc.equal.one,0.331,0.006,0,0,0,0.067,0.003,0,0,0
cfi.cor.obs_str.equal.one,0.475,0.017,0,0.001,0,0.478,0.048,0,0.001,0.001
cfi.cor.obs.nonn_str.equal.one,0.518,0.022,0,0,0,0.52,0.071,0,0,0
cfi.cor.exp_str.equal.one,0.611,0.032,0,0.043,0.021,0.603,0.099,0.007,0.046,0.036
cfi.cor.exp.nonn_str.equal.one,0.498,0.018,0,0,0,0.484,0.053,0,0,0.001
cfi.cor.obs_unstr.equal.one,0.476,0.018,0,0,0,0.487,0.049,0,0,0
cfi.cor.obs.nonn_unstr.equal.one,0.474,0.018,0,0,0,0.48,0.047,0,0,0
Wm_str.pos.def,1,1,1,0.091,0,1,1,1,0.026,0
Wcm.obs_str.pos.def,1,1,1,0.091,0,1,1,1,0.027,0
Wcm.exp_str.pos.def,1,1,1,1,1,1,1,1,1,1
Wcm.obs_unstr.pos.def,1,1,1,1,1,1,1,1,1,1
Wm_unstr.pos.def,1,1,1,1,1,1,1,1,1,1
WmB_str.pos.def,0,0,0,0,0,0,0,0,0,0
WcmB.obs_str.pos.def,0,0,0,0,0,0,0,0,0,0
WcmB.exp_str.pos.def,1,1,1,1,1,1,1,1,1,1
fit.str.incomp.pos.def.implied,1,1,1,1,1,1,1,1,1,1
fit.base.incomp.pos.def.implied,1,1,1,1,1,1,1,1,1,1
fit.str.comp.pos.def.implied,1,1,1,1,1,1,1,1,1,1
fit.base.comp.pos.def.implied,1,1,1,1,1,1,1,1,1,1
fit.str.incomp.pos.def.vcov,1,1,1,1,1,1,1,1,1,1
fit.base.incomp.pos.def.vcov,1,1,1,1,1,1,1,1,1,1
fit.str.comp.pos.def.vcov,1,1,1,1,1,1,1,1,1,1
fit.base.comp.pos.def.vcov,1,1,1,1,1,1,1,1,1,1
fit.str.incomp.mod.converge,1,1,1,1,1,1,1,1,1,1
fit.base.incomp.mod.converge,1,1,1,1,1,1,1,1,1,1
fit.str.comp.mod.converge,1,1,1,1,1,1,1,1,1,1
fit.base.comp.mod.converge,1,1,1,1,1,1,1,1,1,1
k.obs_str.great.zero,1,1,1,1,0.997,1,1,1,0.989,0.97
kb.obs_str.great.zero,0.977,0.991,0.993,0.998,0.997,0.988,0.987,0.994,0.991,0.994
k.obs_str.k.less.kb,0.817,0.919,0.972,0.969,0.961,0.735,0.834,0.935,0.9,0.86
k.obs_str.k.less.chi,0.484,0.999,1,1,1,0.516,0.998,1,1,1
kb.obs_str.kb.less.chiB,1,1,1,1,1,1,1,1,1,1
k.obs.nonn_str.great.zero,1,1,1,1,1,1,1,1,1,1
kb.obs.nonn_str.great.zero,1,1,1,1,0.998,1,1,1,1,1
k.obs.nonn_str.k.less.kb,0.785,0.628,0.459,0.245,0.098,0.629,0.438,0.23,0.084,0.06
k.obs.nonn_str.k.less.chi,1,1,1,1,0.154,0.993,1,1,1,0.204
kb.obs.nonn_str.kb.less.chiB,1,1,1,1,1,1,1,1,1,1
k.exp_str.great.zero,1,1,1,0.791,0.865,1,1,1,0.896,0.739
kb.exp_str.great.zero,0.566,0.477,0.595,0.573,0.567,0.557,0.498,0.523,0.55,0.561
k.exp_str.k.less.kb,0.546,0.435,0.543,0.518,0.535,0.533,0.454,0.463,0.479,0.503
k.exp_str.k.less.chi,1,1,1,0.443,0.907,1,1,1,0.223,0.668
kb.exp_str.kb.less.chiB,0.952,0.967,0.985,0.963,0.975,0.935,0.962,0.984,0.974,0.978
k.exp.nonn_str.great.zero,1,1,1,1,1,1,1,1,1,1
kb.exp.nonn_str.great.zero,1,1,1,1,1,1,1,1,1,1
k.exp.nonn_str.k.less.kb,1,1,1,1,1,1,1,1,1,0.999
k.exp.nonn_str.k.less.chi,1,1,0.368,0.993,1,1,1,0.368,0.961,0.999
kb.exp.nonn_str.kb.less.chiB,1,1,1,1,1,1,1,1,1,1
k.obs_unstr.great.zero,1,1,1,1,1,1,1,1,1,1
kb.obs_unstr.great.zero,1,1,1,1,1,1,1,1,1,1
k.obs_unstr.k.less.kb,1,1,1,1,1,1,1,1,1,1
k.obs_unstr.k.less.chi,1,0.471,1,1,1,1,0.448,0.992,1,1
kb.obs_unstr.kb.less.chiB,1,1,1,1,1,1,1,1,1,1
k.obs.nonn_unstr.great.zero,1,1,1,1,1,1,1,1,1,1
kb.obs.nonn_unstr.great.zero,1,1,1,1,1,1,1,1,1,1
k.obs.nonn_unstr.k.less.kb,1,1,1,1,1,1,1,1,1,1
k.obs.nonn_unstr.k.less.chi,0.506,1,1,1,1,0.505,0.998,1,1,1
kb.obs.nonn_unstr.kb.less.chiB,1,1,1,1,1,1,1,1,1,1
cfi.obs_str.pass.5,0.407,0.918,0.972,0.969,0.958,0.381,0.832,0.935,0.889,0.831
cfi.obs.nonn_str.pass.5,0.785,0.628,0.459,0.245,0.018,0.627,0.438,0.23,0.084,0.013
cfi.exp_str.pass.5,0.498,0.402,0.528,0.108,0.4,0.468,0.416,0.447,0.057,0.195
cfi.exp.nonn_str.pass.5,1,1,0.368,0.993,1,1,1,0.368,0.961,0.999
cfi.obs_unstr.pass.5,1,0.471,1,1,1,1,0.448,0.992,1,1
cfi.obs.nonn_unstr.pass.5,0.506,1,1,1,1,0.505,0.998,1,1,1
cfi.fiml.equal.zero,0,0,0,0,0,0,0,0,0,0
cfi.uncor.fimlc.equal.zero,0,0,0,0,0,0,0,0,0,0
cfi.cor.obs_str.equal.zero,0,0,0,0,0,0,0,0,0.002,0.001
cfi.cor.obs.nonn_str.equal.zero,0,0,0,0,0,0,0,0,0,0
cfi.cor.exp_str.equal.zero,0.015,0.034,0.019,0.034,0.026,0.015,0.042,0.028,0.026,0.032
cfi.cor.exp.nonn_str.equal.zero,0,0,0,0,0,0,0,0,0,0
cfi.cor.obs_unstr.equal.zero,0,0,0,0,0,0,0,0,0,0
cfi.cor.obs.nonn_unstr.equal.zero,0,0,0,0,0,0,0,0,0,0
cfi.fiml.equal.one,0.529,0,0,0,0,0.528,0.001,0,0,0
cfi.uncor.fimlc.equal.one,0.369,0,0,0,0,0.068,0,0,0,0
cfi.cor.obs_str.equal.one,0.532,0,0,0,0,0.536,0.002,0,0,0
cfi.cor.obs.nonn_str.equal.one,0.551,0,0,0,0,0.549,0.002,0,0,0
cfi.cor.exp_str.equal.one,0.591,0,0,0.021,0.004,0.597,0.002,0,0.014,0.009
cfi.cor.exp.nonn_str.equal.one,0.54,0,0,0,0,0.538,0.002,0,0,0
cfi.cor.obs_unstr.equal.one,0.532,0,0,0,0,0.537,0.002,0,0,0
cfi.cor.obs.nonn_unstr.equal.one,0.533,0,0,0,0,0.533,0.002,0,0,0
