"","FC=0.8;CR=0","FC=0.8;CR=0.1","FC=0.8;CR=0.2","FC=0.8;CR=0.3","FC=0.8;CR=0.4","FC=0.8;CR=0","FC=0.8;CR=0.1","FC=0.8;CR=0.2","FC=0.8;CR=0.3","FC=0.8;CR=0.4"
"rmsea",0,0.0337303313461817,0.0706374897500186,0.114762724560868,0.174890630107566,0,0.0337303313461817,0.0706374897500186,0.114762724560868,0.174890630107566
"rmsea.fiml",0.01454449588,0.02925685595,0.06603063571,0.10632745957,0.15868120713,0.01656542487,0.0277401786,0.05806385172,0.09358324482,0.1336087643
"rmsea.mi",0.02859261974,0.04335698072,0.07688482894,0.11770471742,0.17323784103,0.06088516752,0.07007675086,0.09337248981,0.13020185892,0.17923690776
"rmsea.fiml1",0.00873306443,0.03045464193,0.06561054631,0.10706372207,0.15909650547,0.00830718566,0.02653908527,0.05777542113,0.09330213978,0.13360020941
"rmsea.mi1",0.01734909503,0.03784975966,0.07256296643,0.1160120455,0.17315412267,0.0360874249,0.0499739511,0.07949065761,0.12036955691,0.17585382272
"rmsea.fiml2",0.0055161994,0.03114358111,0.06605782818,0.10686859168,0.1596657986,0.0059365114,0.02734598634,0.05794354564,0.0934743324,0.13349215108
"rmsea.mi2",0.01144559792,0.03585963809,0.07182960866,0.11511385673,0.17359639223,0.02542046504,0.04247982459,0.07511681984,0.1176207999,0.17450193426
