"","FC=0.8;CR=0","FC=0.8;CR=0.1","FC=0.8;CR=0.2","FC=0.8;CR=0.3","FC=0.8;CR=0.4","FC=0.8;CR=0","FC=0.8;CR=0.1","FC=0.8;CR=0.2","FC=0.8;CR=0.3","FC=0.8;CR=0.4"
"cfi",1,0.988040713797009,0.950676356613749,0.882246748755069,0.769406459132515,1,0.988040713797009,0.950676356613749,0.882246748755069,0.769406459132515
"cfi.fiml",0.99459217896,0.98679712587,0.95282472047,0.8917061797,0.79738404806,0.9931997776,0.98668226474,0.95993823388,0.90779344931,0.84022619114
"cfi.mi",0.987450813,0.97699779091,0.93994795545,0.8748521132,0.772383014,0.95743689051,0.94668716804,0.91325879099,0.84813975779,0.7560893539
"cfi.fiml1",0.99800334336,0.98867431658,0.95465973774,0.89115873279,0.79677103342,0.99797566639,0.9902659882,0.96186532995,0.90980730288,0.84136117091
"cfi.mi1",0.99527094802,0.98399138232,0.94731975173,0.87902881165,0.7726129706,0.98462771388,0.9728310322,0.93709980382,0.87031997287,0.7641309759
"cfi.fiml2",0.99913380833,0.98893671031,0.95437394661,0.89178221123,0.79496469974,0.99897353529,0.99070112153,0.96188282558,0.909634654,0.84176663309
"cfi.mi2",0.99786196463,0.98609581479,0.94867570973,0.88106972302,0.77081653703,0.99233925507,0.98058390959,0.94383969506,0.87593116836,0.76710788032
