"","FC=0.8;CR=0","FC=0.8;CR=0.1","FC=0.8;CR=0.2","FC=0.8;CR=0.3","FC=0.8;CR=0.4","FC=0.8;CR=0","FC=0.8;CR=0.1","FC=0.8;CR=0.2","FC=0.8;CR=0.3","FC=0.8;CR=0.4"
"rmsea",0,0.0337303313461817,0.0706374897500186,0.114762724560868,0.174890630107566,0,0.0337303313461817,0.0706374897500186,0.114762724560868,0.174890630107566
"rmsea.fiml",0.01574485583,0.02876928449,0.06377851657,0.10183206971,0.15351118803,0.01677857182,0.02597618076,0.05010490624,0.08197954017,0.12163721537
"rmsea.mi",0.03978997472,0.05164809653,0.08173361236,0.12073644455,0.17555227021,0.08140249849,0.08856102456,0.10781216394,0.14060893728,0.18737044671
"rmsea.fiml1",0.00852589121,0.02862712284,0.06319206233,0.10217385074,0.15449892541,0.00940846169,0.02290054641,0.05014351366,0.08100178656,0.12227778646
"rmsea.mi1",0.02352152999,0.04110784635,0.07490271891,0.11696706485,0.17406937401,0.04997372019,0.06047250447,0.08656745534,0.12522550939,0.17885091382
"rmsea.fiml2",0.00592771772,0.02992676476,0.06297464614,0.10266101519,0.1552544973,0.00589212337,0.02312506284,0.04990423095,0.08111752631,0.12333095131
"rmsea.mi2",0.01642749627,0.03782628037,0.07248575424,0.11615341757,0.1741838163,0.03476418683,0.04837408397,0.07881179354,0.12005007369,0.17696288699
