"","FC=0.8;CR=0","FC=0.8;CR=0.1","FC=0.8;CR=0.2","FC=0.8;CR=0.3","FC=0.8;CR=0.4","FC=0.8;CR=0","FC=0.8;CR=0.1","FC=0.8;CR=0.2","FC=0.8;CR=0.3","FC=0.8;CR=0.4"
"cfi",1,0.988040713797009,0.950676356613749,0.882246748755069,0.769406459132515,1,0.988040713797009,0.950676356613749,0.882246748755069,0.769406459132515
"cfi.fiml",0.99370478946,0.98665877148,0.95350757981,0.89520976598,0.79779524994,0.99221556018,0.98668362687,0.96430556673,0.9168129319,0.83992256774
"cfi.mi",0.9794394893,0.96948434628,0.93217215825,0.86863426392,0.76411659685,0.92806357439,0.91799313714,0.88620676567,0.82422926695,0.72899877989
"cfi.fiml1",0.99794216677,0.98934464749,0.95591374721,0.89519945168,0.79517666662,0.99731556353,0.99124682564,0.9667308521,0.92024099933,0.83837399284
"cfi.mi1",0.99259716984,0.9813166897,0.94403986478,0.8766553055,0.76721405142,0.97215737992,0.96092836046,0.92542073994,0.85885591055,0.74868800217
"cfi.fiml2",0.99899957388,0.98931454437,0.95641835924,0.89454645342,0.79338918401,0.99886956621,0.99223010796,0.96742321429,0.91997170892,0.83634860537
"cfi.mi2",0.99636286236,0.98459485774,0.94767837404,0.87857330364,0.76684805957,0.98640935678,0.97499163633,0.93817194084,0.86929342447,0.75337079608
