"","FC=0.8;CR=0","FC=0.8;CR=0.1","FC=0.8;CR=0.2","FC=0.8;CR=0.3","FC=0.8;CR=0.4"
"k.exp_str.great.zero",1,1,0.999,0.798,0.844
"kb.exp_str.great.zero",0.55,0.501,0.522,0.523,0.537
"k.exp_str.k.less.kb",0.516,0.465,0.454,0.469,0.481
"k.exp_str.k.less.chi",1,1,1,0.453,0.618
"kb.exp_str.kb.less.chiB",0.927,0.949,0.974,0.966,0.957
"k.exp.nonn_str.great.zero",1,1,1,1,1
"kb.exp.nonn_str.great.zero",1,1,1,1,1
"k.exp.nonn_str.k.less.kb",1,1,1,1,1
"k.exp.nonn_str.k.less.chi",1,1,0.412,0.795,0.998
"kb.exp.nonn_str.kb.less.chiB",1,1,1,1,1
"k.obs_unstr.great.zero",1,1,1,1,1
"kb.obs_unstr.great.zero",1,1,1,1,1
"k.obs_unstr.k.less.kb",1,1,1,1,1
"k.obs_unstr.k.less.chi",1,0.51,0.968,1,1
"kb.obs_unstr.kb.less.chiB",1,1,1,1,1
"k.obs.nonn_unstr.great.zero",1,1,1,1,1
"kb.obs.nonn_unstr.great.zero",1,1,1,1,1
"k.obs.nonn_unstr.k.less.kb",1,1,1,1,1
"k.obs.nonn_unstr.k.less.chi",0.468,0.982,1,1,1
"kb.obs.nonn_unstr.kb.less.chiB",1,1,1,1,1
"cfi.obs_str.pass.5",0.435,0.888,0.941,0.936,0.921
"cfi.obs.nonn_str.pass.5",0.673,0.574,0.446,0.271,0.031
"cfi.exp_str.pass.5",0.443,0.414,0.427,0.124,0.209
"cfi.exp.nonn_str.pass.5",1,1,0.412,0.795,0.998
"cfi.obs_unstr.pass.5",1,0.51,0.968,1,1
"cfi.obs.nonn_unstr.pass.5",0.468,0.982,1,1,1
"cfi.fiml.equal.zero",0,0,0,0,0
"cfi.uncor.fimlc.equal.zero",0,0,0,0,0
"cfi.cor.obs_str.equal.zero",0,0.001,0,0,0
"cfi.cor.obs.nonn_str.equal.zero",0,0,0,0,0
"cfi.cor.exp_str.equal.zero",0.029,0.06,0.039,0.032,0.043
"cfi.cor.exp.nonn_str.equal.zero",0,0,0,0,0
"cfi.cor.obs_unstr.equal.zero",0,0,0,0,0
"cfi.cor.obs.nonn_unstr.equal.zero",0,0,0,0,0
"cfi.fiml.equal.one",0.488,0.021,0,0,0
"cfi.uncor.fimlc.equal.one",0.331,0.006,0,0,0
"cfi.cor.obs_str.equal.one",0.475,0.017,0,0.001,0
"cfi.cor.obs.nonn_str.equal.one",0.518,0.022,0,0,0
"cfi.cor.exp_str.equal.one",0.611,0.032,0,0.043,0.021
"cfi.cor.exp.nonn_str.equal.one",0.498,0.018,0,0,0
"cfi.cor.obs_unstr.equal.one",0.476,0.018,0,0,0
"cfi.cor.obs.nonn_unstr.equal.one",0.474,0.018,0,0,0
"Wm_str.pos.def",1,1,1,0.091,0
"Wcm.obs_str.pos.def",1,1,1,0.091,0
"Wcm.exp_str.pos.def",1,1,1,1,1
"Wcm.obs_unstr.pos.def",1,1,1,1,1
"Wm_unstr.pos.def",1,1,1,1,1
"WmB_str.pos.def",0,0,0,0,0
"WcmB.obs_str.pos.def",0,0,0,0,0
"WcmB.exp_str.pos.def",1,1,1,1,1
"fit.str.incomp.pos.def.implied",1,1,1,1,1
"fit.str.comp.pos.def.implied",1,1,1,1,1
"fit.base.incomp.pos.def.implied",1,1,1,1,1
"fit.base.compos.def.implied",1,1,1,1,1
"fit.str.incomp.pos.def.vcov",1,1,1,1,1
"fit.str.comp.pos.def.vcov",1,1,1,1,1
"fit.base.incomp.pos.def.vcov",1,1,1,1,1
"fit.base.comp.pos.def.vcov",1,1,1,1,1
"fit.str.incomp.mod.converge",1,1,1,1,1
"fit.str.comp.mod.converge",1,1,1,1,1
"fit.base.incomp.mod.converge",1,1,1,1,1
"fit.base.comp.mod.converge",1,1,1,1,1
"k.obs_str.great.zero",1,1,1,1,0.997
"kb.obs_str.great.zero",0.977,0.991,0.993,0.998,0.997
"k.obs_str.k.less.kb",0.817,0.919,0.972,0.969,0.961
"k.obs_str.k.less.chi",0.484,0.999,1,1,1
"kb.obs_str.kb.less.chiB",1,1,1,1,1
"k.obs.nonn_str.great.zero",1,1,1,1,1
"kb.obs.nonn_str.great.zero",1,1,1,1,0.998
"k.obs.nonn_str.k.less.kb",0.785,0.628,0.459,0.245,0.098
"k.obs.nonn_str.k.less.chi",1,1,1,1,0.154
"kb.obs.nonn_str.kb.less.chiB",1,1,1,1,1
"k.exp_str.great.zero",1,1,1,0.791,0.865
"kb.exp_str.great.zero",0.566,0.477,0.595,0.573,0.567
"k.exp_str.k.less.kb",0.546,0.435,0.543,0.518,0.535
"k.exp_str.k.less.chi",1,1,1,0.443,0.907
"kb.exp_str.kb.less.chiB",0.952,0.967,0.985,0.963,0.975
"k.exp.nonn_str.great.zero",1,1,1,1,1
"kb.exp.nonn_str.great.zero",1,1,1,1,1
"k.exp.nonn_str.k.less.kb",1,1,1,1,1
"k.exp.nonn_str.k.less.chi",1,1,0.368,0.993,1
"kb.exp.nonn_str.kb.less.chiB",1,1,1,1,1
"k.obs_unstr.great.zero",1,1,1,1,1
"kb.obs_unstr.great.zero",1,1,1,1,1
"k.obs_unstr.k.less.kb",1,1,1,1,1
"k.obs_unstr.k.less.chi",1,0.471,1,1,1
"kb.obs_unstr.kb.less.chiB",1,1,1,1,1
"k.obs.nonn_unstr.great.zero",1,1,1,1,1
"kb.obs.nonn_unstr.great.zero",1,1,1,1,1
"k.obs.nonn_unstr.k.less.kb",1,1,1,1,1
"k.obs.nonn_unstr.k.less.chi",0.506,1,1,1,1
"kb.obs.nonn_unstr.kb.less.chiB",1,1,1,1,1
"cfi.obs_str.pass.5",0.407,0.918,0.972,0.969,0.958
"cfi.obs.nonn_str.pass.5",0.785,0.628,0.459,0.245,0.018
"cfi.exp_str.pass.5",0.498,0.402,0.528,0.108,0.4
"cfi.exp.nonn_str.pass.5",1,1,0.368,0.993,1
"cfi.obs_unstr.pass.5",1,0.471,1,1,1
"cfi.obs.nonn_unstr.pass.5",0.506,1,1,1,1
"cfi.fiml.equal.zero",0,0,0,0,0
"cfi.uncor.fimlc.equal.zero",0,0,0,0,0
"cfi.cor.obs_str.equal.zero",0,0,0,0,0
"cfi.cor.obs.nonn_str.equal.zero",0,0,0,0,0
"cfi.cor.exp_str.equal.zero",0.015,0.034,0.019,0.034,0.026
"cfi.cor.exp.nonn_str.equal.zero",0,0,0,0,0
"cfi.cor.obs_unstr.equal.zero",0,0,0,0,0
"cfi.cor.obs.nonn_unstr.equal.zero",0,0,0,0,0
"cfi.fiml.equal.one",0.529,0,0,0,0
"cfi.uncor.fimlc.equal.one",0.369,0,0,0,0
"cfi.cor.obs_str.equal.one",0.532,0,0,0,0
"cfi.cor.obs.nonn_str.equal.one",0.551,0,0,0,0
"cfi.cor.exp_str.equal.one",0.591,0,0,0.021,0.004
"cfi.cor.exp.nonn_str.equal.one",0.54,0,0,0,0
"cfi.cor.obs_unstr.equal.one",0.532,0,0,0,0
"cfi.cor.obs.nonn_unstr.equal.one",0.533,0,0,0,0
