,FC=0;CR=0,FC=0;CR=0.1,FC=0;CR=0.2,FC=0;CR=0.3,FC=0;CR=0.4,FC=0.4;CR=0,FC=0.4;CR=0.1,FC=0.4;CR=0.2,FC=0.4;CR=0.3,FC=0.4;CR=0.4,FC=0.8;CR=0,FC=0.8;CR=0.1,FC=0.8;CR=0.2,FC=0.8;CR=0.3,FC=0.8;CR=0.4
,n=200,,,,,,,,,,,,,,
cfi.exp.nonn_str.pass.5,1,1,0.435,0.398,0.746,1,1,0.427,0.391,0.703,1,1,0.452,0.345,0.467
cfi.obs_unstr.pass.5,1,0.607,0.768,0.98,1,1,0.613,0.777,0.982,1,1,0.598,0.761,0.975,1
cfi.obs.nonn_unstr.pass.5,0.614,0.8,0.991,1,1,0.614,0.786,0.983,1,1,0.598,0.815,0.982,1,1
cfi.fiml.equal.zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cfi.uncor.fimlc.equal.zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cfi.cor.obs_str.equal.zero,0,0.009,0.006,0.005,0.005,0,0.003,0.003,0.004,0.004,0.001,0.001,0.001,0.002,0.002
cfi.cor.obs.nonn_str.equal.zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cfi.cor.exp_str.equal.zero,0.006,0.014,0.062,0.072,0.079,0.011,0.025,0.056,0.082,0.085,0.014,0.018,0.054,0.092,0.092
cfi.cor.exp.nonn_str.equal.zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cfi.cor.obs_unstr.equal.zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cfi.cor.obs.nonn_unstr.equal.zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cfi.fiml.equal.one,0.412,0.238,0.02,0,0,0.419,0.233,0.031,0,0,0.391,0.242,0.024,0,0
cfi.uncor.fimlc.equal.one,0.008,0.001,0,0,0,0.009,0.002,0,0,0,0.008,0.003,0,0,0
cfi.cor.obs_str.equal.one,0.405,0.225,0.03,0.024,0.005,0.41,0.212,0.037,0.013,0.004,0.38,0.221,0.03,0.026,0.011
cfi.cor.obs.nonn_str.equal.one,0.446,0.286,0.026,0,0.005,0.487,0.289,0.045,0,0.01,0.475,0.345,0.035,0,0.011
cfi.cor.exp_str.equal.one,0.941,0.875,0.549,0.214,0.076,0.935,0.88,0.525,0.195,0.076,0.932,0.879,0.519,0.215,0.108
cfi.cor.exp.nonn_str.equal.one,0.421,0.245,0.019,0,0.026,0.44,0.23,0.034,0,0.034,0.394,0.244,0.026,0,0.034
cfi.cor.obs_unstr.equal.one,0.407,0.219,0.014,0,0,0.413,0.204,0.023,0,0,0.381,0.222,0.018,0,0
