"rmsea","cfi","version","fac.corr","cor.resi","mech","place","per.miss","num.var.miss","num.cor","samp"
3.4e-05,-0.003713,"FIML-C V4",1,1,0,"SF",0,"2",1,200
-0.015358,-0.021131,"FIML-C V5",1,1,0,"SF",0,"2",1,200
3.4e-05,-0.003713,"FIML-C V6",1,1,0,"SF",0,"2",1,200
3.4e-05,-0.003713,"TS V0",1,1,0,"SF",0,"2",1,200
-0.004071,-0.001855,"TS V1",1,1,0,"SF",0,"2",1,200
-5e-05,-0.003705,"TS V2",1,1,0,"SF",0,"2",1,200
-0.001385,-0.001648,"FIML",1,2,0,"SF",0,"2",1,200
-0.001385,-0.001648,"FIML-C V0",1,2,0,"SF",0,"2",1,200
-0.005124,0.000616,"FIML-C V1",1,2,0,"SF",0,"2",1,200
-0.004316,-0.004822,"FIML-C V2",1,2,0,"SF",0,"2",1,200
-0.000844,-0.00213,"FIML-C V3",1,2,0,"SF",0,"2",1,200
-0.001385,-0.001648,"FIML-C V4",1,2,0,"SF",0,"2",1,200
-0.020286,-0.052722,"FIML-C V5",1,2,0,"SF",0,"2",1,200
-0.001385,-0.001648,"FIML-C V6",1,2,0,"SF",0,"2",1,200
-0.001385,-0.001648,"TS V0",1,2,0,"SF",0,"2",1,200
-0.005863,0.001192,"TS V1",1,2,0,"SF",0,"2",1,200
-0.00146,-0.0016,"TS V2",1,2,0,"SF",0,"2",1,200
0.000153,-0.002329,"FIML",1,3,0,"SF",0,"2",1,200
0.000153,-0.002329,"FIML-C V0",1,3,0,"SF",0,"2",1,200
-0.003483,0.000544,"FIML-C V1",1,3,0,"SF",0,"2",1,200
-0.003146,-0.010173,"FIML-C V2",1,3,0,"SF",0,"2",1,200
0.000554,-0.002883,"FIML-C V3",1,3,0,"SF",0,"2",1,200
0.000153,-0.002329,"FIML-C V4",1,3,0,"SF",0,"2",1,200
-0.017439,-0.070562,"FIML-C V5",1,3,0,"SF",0,"2",1,200
0.000153,-0.002329,"FIML-C V6",1,3,0,"SF",0,"2",1,200
0.000153,-0.002329,"TS V0",1,3,0,"SF",0,"2",1,200
-0.003928,0.001112,"TS V1",1,3,0,"SF",0,"2",1,200
0.000182,-0.00238,"TS V2",1,3,0,"SF",0,"2",1,200
-0.000493,-0.001172,"FIML",1,4,0,"SF",0,"2",1,200
-0.000493,-0.001172,"FIML-C V0",1,4,0,"SF",0,"2",1,200
-0.003726,0.00116,"FIML-C V1",1,4,0,"SF",0,"2",1,200
-0.004145,-0.011909,"FIML-C V2",1,4,0,"SF",0,"2",1,200
-0.000206,-0.001617,"FIML-C V3",1,4,0,"SF",0,"2",1,200
-0.000493,-0.001172,"FIML-C V4",1,4,0,"SF",0,"2",1,200
-0.020825,-0.051597,"FIML-C V5",1,4,0,"SF",0,"2",1,200
-0.000493,-0.001172,"FIML-C V6",1,4,0,"SF",0,"2",1,200
-0.000493,-0.001172,"TS V0",1,4,0,"SF",0,"2",1,200
-0.004061,0.001651,"TS V1",1,4,0,"SF",0,"2",1,200
-0.000492,-0.001177,"TS V2",1,4,0,"SF",0,"2",1,200
0.015542,-0.005377,"FIML",2,0,0,"SF",0,"2",1,200
0.015542,-0.005377,"FIML-C V0",2,0,0,"SF",0,"2",1,200
0.011608,-0.00373,"FIML-C V1",2,0,0,"SF",0,"2",1,200
0.0137,-0.007627,"FIML-C V2",2,0,0,"SF",0,"2",1,200
0.016244,-0.005688,"FIML-C V3",2,0,0,"SF",0,"2",1,200
0.015542,-0.005377,"FIML-C V4",2,0,0,"SF",0,"2",1,200
0.003183,-0.014981,"FIML-C V5",2,0,0,"SF",0,"2",1,200
0.015542,-0.005377,"FIML-C V6",2,0,0,"SF",0,"2",1,200
0.015542,-0.005377,"TS V0",2,0,0,"SF",0,"2",1,200
0.010927,-0.003471,"TS V1",2,0,0,"SF",0,"2",1,200
0.015508,-0.005378,"TS V2",2,0,0,"SF",0,"2",1,200
0.000291,-0.00361,"FIML",2,1,0,"SF",0,"2",1,200
0.000291,-0.00361,"FIML-C V0",2,1,0,"SF",0,"2",1,200
-0.004131,-0.001317,"FIML-C V1",2,1,0,"SF",0,"2",1,200
-0.001841,-0.00791,"FIML-C V2",2,1,0,"SF",0,"2",1,200
0.001093,-0.003985,"FIML-C V3",2,1,0,"SF",0,"2",1,200
0.000291,-0.00361,"FIML-C V4",2,1,0,"SF",0,"2",1,200
-0.01523,-0.032698,"FIML-C V5",2,1,0,"SF",0,"2",1,200
0.000291,-0.00361,"FIML-C V6",2,1,0,"SF",0,"2",1,200
0.000291,-0.00361,"TS V0",2,1,0,"SF",0,"2",1,200
-0.004937,-0.000964,"TS V1",2,1,0,"SF",0,"2",1,200
0.000304,-0.003601,"TS V2",2,1,0,"SF",0,"2",1,200
-0.001721,-0.001109,"FIML",2,2,0,"SF",0,"2",1,200
-0.001721,-0.001109,"FIML-C V0",2,2,0,"SF",0,"2",1,200
-0.005926,0.002626,"FIML-C V1",2,2,0,"SF",0,"2",1,200
-0.004234,-0.013388,"FIML-C V2",2,2,0,"SF",0,"2",1,200
-0.001103,-0.001616,"FIML-C V3",2,2,0,"SF",0,"2",1,200
-0.001721,-0.001109,"FIML-C V4",2,2,0,"SF",0,"2",1,200
-0.021129,-0.055758,"FIML-C V5",2,2,0,"SF",0,"2",1,200
-0.001721,-0.001109,"FIML-C V6",2,2,0,"SF",0,"2",1,200
-0.001721,-0.001109,"TS V0",2,2,0,"SF",0,"2",1,200
-0.006624,0.003141,"TS V1",2,2,0,"SF",0,"2",1,200
-0.001679,-0.001133,"TS V2",2,2,0,"SF",0,"2",1,200
-0.001584,0.000339,"FIML",2,3,0,"SF",0,"2",1,200
-0.001584,0.000339,"FIML-C V0",2,3,0,"SF",0,"2",1,200
-0.005088,0.005538,"FIML-C V1",2,3,0,"SF",0,"2",1,200
-0.005592,-0.024671,"FIML-C V2",2,3,0,"SF",0,"2",1,200
-0.001252,-0.000109,"FIML-C V3",2,3,0,"SF",0,"2",1,200
-0.001584,0.000339,"FIML-C V4",2,3,0,"SF",0,"2",1,200
-0.017003,-0.079693,"FIML-C V5",2,3,0,"SF",0,"2",1,200
-0.001584,0.000339,"FIML-C V6",2,3,0,"SF",0,"2",1,200
-0.001584,0.000339,"TS V0",2,3,0,"SF",0,"2",1,200
-0.005494,0.006055,"TS V1",2,3,0,"SF",0,"2",1,200
-0.0016,0.000351,"TS V2",2,3,0,"SF",0,"2",1,200
-0.000945,0.000273,"FIML",2,4,0,"SF",0,"2",1,200
-0.000945,0.000273,"FIML-C V0",2,4,0,"SF",0,"2",1,200
