"rmsea","cfi","version","fac.corr","cor.resi","mech","place","per.miss","num.var.miss","num.cor","samp"
0.017813,0.010754,"TS V0",1,1,0,"SF",0,"2",1,200
0.017498,0.009518,"TS V1",1,1,0,"SF",0,"2",1,200
0.017896,0.010758,"TS V2",1,1,0,"SF",0,"2",1,200
0.01652,0.014655,"FIML",1,2,0,"SF",0,"2",1,200
0.01652,0.014655,"FIML-C V0",1,2,0,"SF",0,"2",1,200
0.017681,0.014495,"FIML-C V1",1,2,0,"SF",0,"2",1,200
0.017142,0.017984,"FIML-C V2",1,2,0,"SF",0,"2",1,200
0.016368,0.014783,"FIML-C V3",1,2,0,"SF",0,"2",1,200
0.01652,0.014655,"FIML-C V4",1,2,0,"SF",0,"2",1,200
0.026075,0.251551,"FIML-C V5",1,2,0,"SF",0,"2",1,200
0.01652,0.014655,"FIML-C V6",1,2,0,"SF",0,"2",1,200
0.01652,0.014655,"TS V0",1,2,0,"SF",0,"2",1,200
0.018132,0.014477,"TS V1",1,2,0,"SF",0,"2",1,200
0.016597,0.014681,"TS V2",1,2,0,"SF",0,"2",1,200
0.013451,0.019639,"FIML",1,3,0,"SF",0,"2",1,200
0.013451,0.019639,"FIML-C V0",1,3,0,"SF",0,"2",1,200
0.014044,0.019638,"FIML-C V1",1,3,0,"SF",0,"2",1,200
0.013397,0.02436,"FIML-C V2",1,3,0,"SF",0,"2",1,200
0.013407,0.019707,"FIML-C V3",1,3,0,"SF",0,"2",1,200
0.013451,0.019639,"FIML-C V4",1,3,0,"SF",0,"2",1,200
0.025069,0.286544,"FIML-C V5",1,3,0,"SF",0,"2",1,200
0.013451,0.019639,"FIML-C V6",1,3,0,"SF",0,"2",1,200
0.013451,0.019639,"TS V0",1,3,0,"SF",0,"2",1,200
0.014269,0.019668,"TS V1",1,3,0,"SF",0,"2",1,200
0.013473,0.019645,"TS V2",1,3,0,"SF",0,"2",1,200
0.012552,0.021668,"FIML",1,4,0,"SF",0,"2",1,200
0.012552,0.021668,"FIML-C V0",1,4,0,"SF",0,"2",1,200
0.013108,0.021965,"FIML-C V1",1,4,0,"SF",0,"2",1,200
0.012726,0.027233,"FIML-C V2",1,4,0,"SF",0,"2",1,200
0.012534,0.02173,"FIML-C V3",1,4,0,"SF",0,"2",1,200
0.012552,0.021668,"FIML-C V4",1,4,0,"SF",0,"2",1,200
0.028471,0.267491,"FIML-C V5",1,4,0,"SF",0,"2",1,200
0.012552,0.021668,"FIML-C V6",1,4,0,"SF",0,"2",1,200
0.012552,0.021668,"TS V0",1,4,0,"SF",0,"2",1,200
0.013254,0.022009,"TS V1",1,4,0,"SF",0,"2",1,200
0.012585,0.021712,"TS V2",1,4,0,"SF",0,"2",1,200
0.022312,0.008899,"FIML",2,0,0,"SF",0,"2",1,200
0.022312,0.008899,"FIML-C V0",2,0,0,"SF",0,"2",1,200
0.018622,0.007,"FIML-C V1",2,0,0,"SF",0,"2",1,200
0.020609,0.01326,"FIML-C V2",2,0,0,"SF",0,"2",1,200
0.022955,0.00926,"FIML-C V3",2,0,0,"SF",0,"2",1,200
0.022312,0.008899,"FIML-C V4",2,0,0,"SF",0,"2",1,200
0.00848,0.118429,"FIML-C V5",2,0,0,"SF",0,"2",1,200
0.022312,0.008899,"FIML-C V6",2,0,0,"SF",0,"2",1,200
0.022312,0.008899,"TS V0",2,0,0,"SF",0,"2",1,200
0.017962,0.006698,"TS V1",2,0,0,"SF",0,"2",1,200
0.022318,0.008936,"TS V2",2,0,0,"SF",0,"2",1,200
0.018301,0.01048,"FIML",2,1,0,"SF",0,"2",1,200
0.018301,0.01048,"FIML-C V0",2,1,0,"SF",0,"2",1,200
0.01802,0.008736,"FIML-C V1",2,1,0,"SF",0,"2",1,200
0.018005,0.017201,"FIML-C V2",2,1,0,"SF",0,"2",1,200
0.018264,0.010757,"FIML-C V3",2,1,0,"SF",0,"2",1,200
0.018301,0.01048,"FIML-C V4",2,1,0,"SF",0,"2",1,200
0.019535,0.187323,"FIML-C V5",2,1,0,"SF",0,"2",1,200
0.018301,0.01048,"FIML-C V6",2,1,0,"SF",0,"2",1,200
0.018301,0.01048,"TS V0",2,1,0,"SF",0,"2",1,200
0.018116,0.008523,"TS V1",2,1,0,"SF",0,"2",1,200
0.018254,0.0105,"TS V2",2,1,0,"SF",0,"2",1,200
0.016459,0.014403,"FIML",2,2,0,"SF",0,"2",1,200
0.016459,0.014403,"FIML-C V0",2,2,0,"SF",0,"2",1,200
0.017862,0.013808,"FIML-C V1",2,2,0,"SF",0,"2",1,200
0.016824,0.02583,"FIML-C V2",2,2,0,"SF",0,"2",1,200
0.016191,0.014459,"FIML-C V3",2,2,0,"SF",0,"2",1,200
0.016459,0.014403,"FIML-C V4",2,2,0,"SF",0,"2",1,200
0.028714,0.254473,"FIML-C V5",2,2,0,"SF",0,"2",1,200
0.016459,0.014403,"FIML-C V6",2,2,0,"SF",0,"2",1,200
0.016459,0.014403,"TS V0",2,2,0,"SF",0,"2",1,200
0.018291,0.013861,"TS V1",2,2,0,"SF",0,"2",1,200
0.016401,0.014383,"TS V2",2,2,0,"SF",0,"2",1,200
0.012886,0.018529,"FIML",2,3,0,"SF",0,"2",1,200
0.012886,0.018529,"FIML-C V0",2,3,0,"SF",0,"2",1,200
0.014073,0.019177,"FIML-C V1",2,3,0,"SF",0,"2",1,200
0.013467,0.036168,"FIML-C V2",2,3,0,"SF",0,"2",1,200
0.012802,0.018607,"FIML-C V3",2,3,0,"SF",0,"2",1,200
0.012886,0.018529,"FIML-C V4",2,3,0,"SF",0,"2",1,200
0.041637,0.299151,"FIML-C V5",2,3,0,"SF",0,"2",1,200
0.012886,0.018529,"FIML-C V6",2,3,0,"SF",0,"2",1,200
0.012886,0.018529,"TS V0",2,3,0,"SF",0,"2",1,200
0.0143,0.01933,"TS V1",2,3,0,"SF",0,"2",1,200
0.012925,0.018616,"TS V2",2,3,0,"SF",0,"2",1,200
0.012882,0.023485,"FIML",2,4,0,"SF",0,"2",1,200
0.012882,0.023485,"FIML-C V0",2,4,0,"SF",0,"2",1,200
0.013666,0.02454,"FIML-C V1",2,4,0,"SF",0,"2",1,200
0.013339,0.050073,"FIML-C V2",2,4,0,"SF",0,"2",1,200
0.012826,0.023457,"FIML-C V3",2,4,0,"SF",0,"2",1,200
0.012882,0.023485,"FIML-C V4",2,4,0,"SF",0,"2",1,200
0.037067,0.262159,"FIML-C V5",2,4,0,"SF",0,"2",1,200
0.012882,0.023485,"FIML-C V6",2,4,0,"SF",0,"2",1,200
0.012882,0.023485,"TS V0",2,4,0,"SF",0,"2",1,200
0.013793,0.024682,"TS V1",2,4,0,"SF",0,"2",1,200
0.012873,0.023467,"TS V2",2,4,0,"SF",0,"2",1,200
0.013609,0.004059,"FIML",0,0,0,"SF",0,"2",1,500
0.013609,0.004059,"FIML-C V0",0,0,0,"SF",0,"2",1,500
0.012962,0.003918,"FIML-C V1",0,0,0,"SF",0,"2",1,500
0.013038,0.004083,"FIML-C V2",0,0,0,"SF",0,"2",1,500
0.013733,0.004111,"FIML-C V3",0,0,0,"SF",0,"2",1,500
0.013609,0.004059,"FIML-C V4",0,0,0,"SF",0,"2",1,500
0.010932,0.187542,"FIML-C V5",0,0,0,"SF",0,"2",1,500
0.013609,0.004059,"FIML-C V6",0,0,0,"SF",0,"2",1,500
0.013609,0.004059,"TS V0",0,0,0,"SF",0,"2",1,500
0.012804,0.003861,"TS V1",0,0,0,"SF",0,"2",1,500
0.013577,0.004054,"TS V2",0,0,0,"SF",0,"2",1,500
0.011938,0.00533,"FIML",0,1,0,"SF",0,"2",1,500
0.011938,0.00533,"FIML-C V0",0,1,0,"SF",0,"2",1,500
0.012113,0.00528,"FIML-C V1",0,1,0,"SF",0,"2",1,500
0.012067,0.005539,"FIML-C V2",0,1,0,"SF",0,"2",1,500
