"rmsea","cfi","version","fac.corr","mech","pattern","per.miss","num.var.miss","samp"
0.014266,0.053945,"FIML",0.3,"MCAR","min",0,2,200
0.014266,0.053945,"FIML-C V0",0.3,"MCAR","min",0,2,200
0.017196,0.0587,"FIML-C V1",0.3,"MCAR","min",0,2,200
0.02388,0.044626,"FIML-C V2",0.3,"MCAR","min",0,2,200
0.014222,0.053808,"FIML-C V3",0.3,"MCAR","min",0,2,200
0.014266,0.053945,"FIML-C V4",0.3,"MCAR","min",0,2,200
0.131041,0.351042,"FIML-C V5",0.3,"MCAR","min",0,2,200
0.014266,0.053945,"FIML-C V6",0.3,"MCAR","min",0,2,200
0.014266,0.053945,"TS V0",0.3,"MCAR","min",0,2,200
0.017327,0.058902,"TS V1",0.3,"MCAR","min",0,2,200
0.014277,0.053954,"TS V2",0.3,"MCAR","min",0,2,200
0.014209,0.054854,"FIML",0.2,"MCAR","min",0,2,200
0.014209,0.054854,"FIML-C V0",0.2,"MCAR","min",0,2,200
0.016584,0.058694,"FIML-C V1",0.2,"MCAR","min",0,2,200
0.023308,0.048914,"FIML-C V2",0.2,"MCAR","min",0,2,200
0.014171,0.054724,"FIML-C V3",0.2,"MCAR","min",0,2,200
0.014209,0.054854,"FIML-C V4",0.2,"MCAR","min",0,2,200
0.135377,0.350774,"FIML-C V5",0.2,"MCAR","min",0,2,200
0.014209,0.054854,"FIML-C V6",0.2,"MCAR","min",0,2,200
0.014209,0.054854,"TS V0",0.2,"MCAR","min",0,2,200
0.016693,0.058833,"TS V1",0.2,"MCAR","min",0,2,200
0.014209,0.054835,"TS V2",0.2,"MCAR","min",0,2,200
0.021114,0.008248,"FIML",1,"MCAR","min",20,2,200
0.027961,0.011551,"FIML-C V0",1,"MCAR","min",20,2,200
0.018164,0.006417,"FIML-C V1",1,"MCAR","min",20,2,200
0.021181,0.015759,"FIML-C V2",1,"MCAR","min",20,2,200
0.022998,0.009092,"FIML-C V3",1,"MCAR","min",20,2,200
0.022548,0.032831,"FIML-C V4",1,"MCAR","min",20,2,200
0.007966,0.130472,"FIML-C V5",1,"MCAR","min",20,2,200
0.022298,0.008718,"FIML-C V6",1,"MCAR","min",20,2,200
0.027833,0.011479,"TS V0",1,"MCAR","min",20,2,200
0.017589,0.006171,"TS V1",1,"MCAR","min",20,2,200
0.022373,0.008788,"TS V2",1,"MCAR","min",20,2,200
0.016924,0.014504,"FIML",0.9,"MCAR","min",20,2,200
0.016226,0.016875,"FIML-C V0",0.9,"MCAR","min",20,2,200
0.019752,0.013882,"FIML-C V1",0.9,"MCAR","min",20,2,200
0.017873,0.030331,"FIML-C V2",0.9,"MCAR","min",20,2,200
0.017213,0.015474,"FIML-C V3",0.9,"MCAR","min",20,2,200
0.017398,0.01559,"FIML-C V4",0.9,"MCAR","min",20,2,200
0.027225,0.28198,"FIML-C V5",0.9,"MCAR","min",20,2,200
0.017422,0.015243,"FIML-C V6",0.9,"MCAR","min",20,2,200
0.01619,0.016779,"TS V0",0.9,"MCAR","min",20,2,200
0.020213,0.013887,"TS V1",0.9,"MCAR","min",20,2,200
0.017494,0.015305,"TS V2",0.9,"MCAR","min",20,2,200
0.014302,0.024385,"FIML",0.8,"MCAR","min",20,2,200
0.014764,0.026563,"FIML-C V0",0.8,"MCAR","min",20,2,200
0.015562,0.024431,"FIML-C V1",0.8,"MCAR","min",20,2,200
0.014516,0.052787,"FIML-C V2",0.8,"MCAR","min",20,2,200
0.014806,0.02558,"FIML-C V3",0.8,"MCAR","min",20,2,200
0.015533,0.051731,"FIML-C V4",0.8,"MCAR","min",20,2,200
0.023221,0.316742,"FIML-C V5",0.8,"MCAR","min",20,2,200
0.014897,0.025502,"FIML-C V6",0.8,"MCAR","min",20,2,200
0.014704,0.026396,"TS V0",0.8,"MCAR","min",20,2,200
0.015779,0.024546,"TS V1",0.8,"MCAR","min",20,2,200
0.014828,0.025401,"TS V2",0.8,"MCAR","min",20,2,200
0.014656,0.034044,"FIML",0.7,"MCAR","min",20,2,200
0.014511,0.035351,"FIML-C V0",0.7,"MCAR","min",20,2,200
0.015818,0.035554,"FIML-C V1",0.7,"MCAR","min",20,2,200
0.014725,0.0629,"FIML-C V2",0.7,"MCAR","min",20,2,200
0.014665,0.034958,"FIML-C V3",0.7,"MCAR","min",20,2,200
